Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,A_Record,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Content,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
oma.sk,"Platon Technologies, s.r.o.",4,3,None,42,185.161.175.29,1,1,1,1,0,0,5578,200,Apache/2.4.63 (Debian),text/html; charset=UTF-8,2.58,0.33,0.5,0.0,0.0,1,2,0,0,False,1,Slovakia,0
galileohotel.sk,pressitech s.r.o.,4,3,None,17,195.80.163.33,1,1,1,1,0,0,8778,200,nginx,text/html; charset=utf-8,3.32,0.4,0.53,0.0,0.0,2,2,0,0,False,1,Slovakia,0
whotel.sk,Costrar EOOD,3,3,Let's Encrypt,43,103.224.182.253,1,1,1,1,1,1,133618,200,None,text/html; charset=utf-8,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,5,United States,0
ocduben.sk,"Slovanet, a. s.",4,1,None,0,None,0,1,1,1,0,0,None,0,None,None,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,1,None,0
autoskolaportal.sk,Websupport s.r.o.,4,2,Let's Encrypt,80,37.9.175.156,1,1,1,1,0,0,51013,200,openresty,text/html; charset=utf-8,3.2,0.39,0.56,0.0,0.0,2,2,0,0,False,1,Slovakia,0
vzorovezmluvy.sk,"SWAN, a. s.",4,3,Let's Encrypt,43,86.110.225.104,1,0,0,0,0,0,29405,200,Apache,text/html; charset=ISO-8859-2,3.45,0.31,0.62,0.0,0.0,1,3,0,0,False,1,Slovakia,0
hotelpatria.sk,Varro s.r.o.,4,2,Let's Encrypt,55,37.9.175.157,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.52,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
skvza.sk,"Webglobe, a.s.",4,4,Let's Encrypt,22,195.181.248.157,1,1,1,1,1,1,48689,200,nginx,text/html; charset=utf-8,2.5,0.12,0.75,0.0,0.0,1,4,0,0,False,1,Slovakia,0
podmaz.sk,"SWAN, a. s.",4,3,Let's Encrypt,54,172.105.90.44,1,1,1,1,0,0,63949,200,nginx/1.18.0 (Ubuntu),text/html; charset=UTF-8,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Germany,0
skalkaarena.sk,Websupport s.r.o.,4,3,Let's Encrypt,62,37.9.175.187,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,2.75,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
hotelyplus.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,Let's Encrypt,49,92.240.253.18,1,1,1,1,0,0,29405,200,None,text/html; charset=UTF-8,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
orsr.sk,Ministerstvo spravodlivosti Slovenskej republiky,4,4,Let's Encrypt,55,195.49.189.61,1,1,0,1,0,0,25373,200,None,text/html,2.24,0.14,0.71,0.0,0.0,1,3,0,0,False,1,Slovakia,0
martin.sk,DATACOM.EU s.r.o.,4,2,Let's Encrypt,36,78.156.158.75,1,1,1,1,0,0,43542,200,Microsoft-IIS/10.0,text/html; Charset=utf-8,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,3,Czechia,0
kosice.sk,Websupport s.r.o.,4,3,DigiCert Inc,91,88.212.14.21,1,1,1,1,0,1,42841,200,Apache,text/html; charset=UTF-8,2.73,0.33,0.56,0.0,0.0,1,2,0,0,False,3,Slovakia,0
skibuce.sk,Websupport s.r.o.,4,3,Let's Encrypt,41,37.9.175.155,1,1,1,1,0,0,51013,200,openresty,text/html; charset=utf-8,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
kupele-skleneteplice.sk,Websupport s.r.o.,4,3,Sectigo Limited,314,37.9.175.155,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,3.26,0.35,0.57,0.0,0.04,1,3,0,1,False,1,Slovakia,0
vkapusany.sk,"WEBY GROUP, s.r.o.",4,2,Let's Encrypt,56,82.119.224.201,1,1,1,1,0,0,5578,200,Apache,text/html; charset=utf-8,3.08,0.33,0.58,0.0,0.0,1,2,0,0,False,6,Slovakia,0
heureka.sk,"Webglobe, s.r.o.",4,3,Google Trust Services,52,104.18.33.124,2,1,1,1,0,1,13335,403,cloudflare,text/html; charset=UTF-8,2.92,0.4,0.5,0.0,0.0,2,2,0,0,False,1,Canada,0
hotelboboty.sk,Websupport s.r.o.,4,3,Let's Encrypt,84,20.8.80.89,1,1,1,1,0,0,8075,200,None,text/html; charset=utf-8,3.18,0.36,0.57,0.0,0.0,1,2,0,0,False,1,Netherlands,0
hotelarcus.sk,Websupport s.r.o.,4,3,Let's Encrypt,36,185.59.211.127,1,1,1,1,0,0,43541,200,nginx,text/html; charset=UTF-8,3.55,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Czechia,0
cityhotelpark.sk,"DSI DATA, a. s.",4,3,Google Trust Services,47,172.67.153.229,2,1,1,1,0,1,13335,200,cloudflare,text/html; charset=UTF-8,3.75,0.31,0.62,0.0,0.0,1,2,0,0,False,8,Canada,0
panorama.sk,Bc. Branislav Bibel,4,3,Let's Encrypt,66,139.59.131.69,1,1,0,1,0,0,14061,200,Apache/2.4.18 (Ubuntu),text/html; charset=UTF-8,3.03,0.36,0.55,0.0,0.0,1,2,0,0,False,1,Germany,0
hotelpodzamkom.sk,"INTERNET CZ, a.s.",4,2,Let's Encrypt,49,37.9.175.157,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,3.57,0.29,0.65,0.0,0.0,1,2,0,0,False,7,Slovakia,0
skitatry.sk,Websupport s.r.o.,4,2,Let's Encrypt,71,37.9.175.187,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,1,Slovakia,0
kupelecks.sk,Websupport s.r.o.,4,3,Let's Encrypt,66,46.101.69.153,2,1,1,1,0,0,14061,400,nginx,text/html,2.86,0.25,0.67,0.0,0.0,1,3,0,0,False,1,Germany,0
urpincity.sk,"ActivIT,s.r.o.",4,3,Sectigo Limited,373,195.80.163.33,1,0,0,1,0,0,8778,200,nginx,text/html; charset=UTF-8,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,7,Slovakia,0
ukf.sk,Univerzita Konštantína Filozofa v Nitre,4,3,GEANT Vereniging,169,193.87.12.81,1,1,1,1,0,1,2607,200,Apache,text/html; charset=utf-8,2.25,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
vrutky.sk,DATACOM.EU s.r.o.,4,2,Let's Encrypt,40,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hotelbowgarden.sk,"Webglobe, a.s.",4,3,None,52,217.67.31.5,1,1,1,1,1,1,5578,200,nginx,text/html; charset=utf-8,3.85,0.29,0.65,0.0,0.0,1,2,0,0,False,6,Slovakia,0
modra.sk,"Webglobe, a.s.",4,2,Let's Encrypt,51,217.67.30.91,1,1,1,1,1,1,5578,200,nginx,text/html; charset=UTF-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
levi.sk,MarkMonitor International Limited,4,4,Let's Encrypt,33,157.230.111.194,1,1,1,1,0,1,14061,200,xxxxxx,text/html;charset=utf-8,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,1,Germany,0
hotel21trnavka.sk,Websupport s.r.o.,4,1,Let's Encrypt,41,37.9.175.179,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.73,0.24,0.59,0.12,0.0,1,3,2,0,False,6,Slovakia,0
nitra.sk,"Webglobe, a.s.",4,3,DigiCert Inc,255,194.160.215.35,1,1,1,1,0,1,2607,200,Apache,text/html; charset=UTF-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelslovanlc.sk,"WEBY GROUP, s.r.o.",4,1,None,0,217.67.22.56,1,1,1,1,0,1,5578,200,nginx,text/html; charset=UTF-8,3.45,0.25,0.69,0.0,0.0,1,3,0,0,False,6,Slovakia,0
polov.sk,Eva Hromádková - KRISTÍNKA,4,2,None,0,185.161.175.126,1,0,0,0,0,0,5578,200,nginx,text/html; charset=UTF-8,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
kuzelka.sk,"ACTIVE 24, s.r.o.",4,3,Let's Encrypt,75,37.9.175.196,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,2.85,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
gemer.sk,"INTERNET CZ, a.s.",4,1,Actalis S.p.A.,50,81.2.194.179,1,0,0,0,0,0,24806,200,Microsoft-IIS/10.0,text/html,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Czechia,0
kupeleciz.sk,Websupport s.r.o.,4,3,Let's Encrypt,48,46.229.232.77,1,1,1,1,0,0,29405,200,Apache,text/html; charset=UTF-8,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hoteldevin.sk,"WebCreators, s. r. o.",4,3,Let's Encrypt,68,193.163.77.5,1,1,1,1,0,1,29405,200,nginx,text/html; charset=UTF-8,3.55,0.31,0.62,0.0,0.0,1,2,0,0,False,2,Slovakia,0
mestosastinstraze.sk,"Webglobe, a.s.",4,3,Let's Encrypt,42,88.86.102.6,1,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,3.3,0.3,0.65,0.0,0.0,1,4,0,0,False,12,Czechia,0
hotelharmonia.sk,"Webglobe, a.s.",4,3,None,52,195.181.248.21,1,1,1,1,1,1,48689,200,nginx,text/html,3.62,0.38,0.56,0.0,0.0,2,2,0,0,False,4,Slovakia,0
hotelspark.sk,Websupport s.r.o.,4,2,Let's Encrypt,66,37.9.175.131,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.39,0.23,0.69,0.0,0.0,1,3,0,0,False,5,Slovakia,0
besenovaflora.sk,"CS WEB, s.r.o.",4,3,Let's Encrypt,83,95.105.255.161,1,1,1,1,0,0,15962,200,Apache/2.4.62 (Debian),text/html; charset=utf-8,3.5,0.38,0.56,0.0,0.0,1,2,0,0,False,8,Slovakia,0
horizontresort.sk,Websupport s.r.o.,4,2,Sectigo Limited,246,37.9.175.157,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,3.29,0.29,0.65,0.0,0.0,1,3,0,0,False,1,Slovakia,0
revuca.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,56,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,3,Slovakia,0
ruzinov.sk,"crooce.com - the internet company, s.r.o.",4,4,Let's Encrypt,57,86.110.226.183,1,1,1,1,0,0,29405,403,Apache,text/html; charset=iso-8859-1,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hotelprim.sk,"WebHouse, s.r.o.",4,3,Let's Encrypt,60,86.110.243.206,1,1,1,1,0,1,29405,200,Apache,text/html; charset=UTF-8,3.58,0.25,0.67,0.0,0.0,1,3,0,0,False,4,Slovakia,0
hotelerb.sk,Websupport s.r.o.,4,3,Let's Encrypt,42,37.9.175.131,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,4,Slovakia,0
ambassador.sk,bart.sk s.r.o.,4,3,DigiCert Inc,89,81.89.49.143,1,0,0,1,0,0,29405,200,Apache/2.4.62 (AlmaLinux) OpenSSL/3.2.2,text/html; charset=utf-8,2.97,0.31,0.62,0.0,0.0,1,2,0,0,False,7,Slovakia,0
central.sk,"Platon Technologies, s.r.o.",4,2,Let's Encrypt,52,85.248.229.168,1,1,1,1,0,1,5578,200,nginx,text/html; charset=UTF-8,3.32,0.2,0.7,0.0,0.0,1,3,0,0,False,1,Slovakia,0
autoskolasmart.sk,Websupport s.r.o.,4,3,Let's Encrypt,45,139.162.156.124,1,1,1,1,0,0,63949,200,nginx/1.22.0 (Ubuntu),text/html; charset=utf-8,3.18,0.35,0.59,0.0,0.0,2,2,0,0,False,1,Germany,0
hrinova.sk,"INTERNET CZ, a.s.",4,3,Let's Encrypt,29,88.86.102.9,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Czechia,0
aktuality.sk,Ringier Slovakia Media s.r.o.,4,1,Sectigo Limited,291,91.235.52.35,1,1,1,1,0,1,57788,200,nginx,text/html;charset=utf-8,3.08,0.42,0.5,0.0,0.0,2,2,0,0,False,1,Slovakia,0
brezno.sk,Arrabella s.r.o.,4,3,Let's Encrypt,75,3.123.67.122,1,1,1,1,1,1,16509,200,nginx,text/html; charset=UTF-8,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,4,Germany,0
infocenter.sk,"WebCreators, s. r. o.",3,3,Let's Encrypt,87,15.197.76.227,2,1,0,0,1,1,16509,200,"Caddy, awselb/2.0",text/html; charset=utf-8,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,1,United States,0
stopbyrokracii.sk,Národná agentúra pre sieťové a elektronické služby,4,3,Sectigo Limited,137,37.9.175.188,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.5,0.35,0.59,0.0,0.0,2,2,0,0,False,1,Slovakia,0
dsi.sk,"ACTIVE 24, s.r.o.",4,3,Let's Encrypt,37,31.15.10.161,1,1,1,1,0,1,25234,200,nginx,text/html; charset=UTF-8,2.25,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Czechia,0
hotelagatka.sk,Websupport s.r.o.,4,4,Google Trust Services,41,104.21.32.1,7,1,1,1,0,0,13335,200,cloudflare,text/html; charset=utf-8,3.18,0.36,0.57,0.0,0.0,1,2,0,0,False,5,Canada,0
maxplaza.sk,Websupport s.r.o.,4,1,Let's Encrypt,39,37.9.175.188,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,3.03,0.27,0.64,0.0,0.0,1,3,0,0,False,6,Slovakia,0
hotelsmokovec.sk,"MYSTERY MACHINE, s.r.o.",4,3,None,0,46.4.84.171,1,1,1,1,1,1,24940,200,Apache/2,text/html,3.33,0.31,0.62,0.0,0.0,1,3,0,0,False,1,Germany,0
ziarce.sk,"WebHouse, s.r.o.",4,3,Let's Encrypt,33,86.110.243.226,1,1,1,1,0,1,29405,200,Apache,text/html; charset=UTF-8,3.17,0.33,0.56,0.0,0.0,2,2,0,0,False,1,Slovakia,0
mojerakusko.sk,Websupport s.r.o.,4,3,Google Trust Services,88,104.21.80.1,7,1,1,1,0,0,13335,200,cloudflare,text/html; charset=UTF-8,3.18,0.36,0.57,0.0,0.0,1,2,0,0,False,1,Canada,0
abchotel.sk,"WEDOS Internet, a.s.",4,2,None,0,89.221.213.77,1,0,0,1,0,0,197019,200,ATS,text/html; charset=UTF-8,3.46,0.27,0.64,0.0,0.0,1,3,0,0,False,5,Czechia,0
turciansketeplice.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,87,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.58,0.35,0.6,0.0,0.0,2,3,0,0,False,10,Slovakia,0
okay.sk,"INTERNET CZ, a.s.",4,3,Google Trust Services,47,23.227.38.65,1,1,1,1,0,1,13335,200,cloudflare,text/html; charset=utf-8,2.52,0.43,0.43,0.0,0.0,2,2,0,0,False,1,Canada,0
bratislava.sk,Hlavné mesto Slovenskej republiky Bratislava,4,2,Let's Encrypt,83,104.26.7.233,3,1,1,1,0,1,13335,200,cloudflare,text/html; charset=utf-8,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,7,Canada,0
a1centrum.sk,"WebHouse, s.r.o.",4,3,Let's Encrypt,48,217.160.215.63,1,1,1,1,0,1,8560,200,nginx,text/html; charset=UTF-8,3.58,0.25,0.58,0.08,0.0,1,3,1,0,False,1,Germany,0
mfsr.sk,DataCentrum,4,1,DigiCert Inc,327,85.248.149.189,1,1,1,1,0,1,5578,200,None,text/html;charset=utf-8,2.52,0.0,0.86,0.0,0.0,0,4,0,0,False,1,Slovakia,0
levoca.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,33,51.91.81.147,1,1,0,1,0,1,16276,200,None,text/html; charset=UTF-8,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,1,France,0
senica.sk,"Slovanet, a. s.",4,3,Let's Encrypt,29,37.9.175.179,1,1,1,1,0,1,51013,200,openresty,text/html; charset=utf-8,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelvictoria.sk,DATACOM.EU s.r.o.,4,2,Let's Encrypt,85,46.229.230.47,1,1,1,1,0,1,29405,200,Apache,text/html; charset=UTF-8,3.62,0.38,0.56,0.0,0.0,2,2,0,0,False,5,Slovakia,0
kubinska.sk,"DSI DATA, a. s.",4,3,Let's Encrypt,14,37.9.175.156,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,2.85,0.27,0.64,0.0,0.0,1,3,0,0,False,1,Slovakia,0
jiscd.sk,Národná agentúra pre sieťové a elektronické služby,4,4,None,0,None,0,1,1,1,0,0,None,0,None,None,2.75,0.12,0.75,0.0,0.0,1,3,0,0,False,1,None,0
jazerokosice.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,DigiCert Inc,187,92.240.253.31,1,1,1,1,0,0,29405,200,None,text/html,3.37,0.4,0.53,0.0,0.0,1,2,0,0,False,1,Slovakia,0
trebisov.sk,INVER spol. s r.o.,4,2,Let's Encrypt,47,90.64.252.233,1,1,1,1,0,0,15962,200,Microsoft-IIS/10.0,text/html; charset=utf-8,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,6,Slovakia,0
autoskolasmile.sk,Websupport s.r.o.,4,2,Let's Encrypt,42,37.9.175.189,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.34,0.41,0.53,0.0,0.0,2,2,0,0,False,1,Slovakia,0
stropkov.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,56,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,2.91,0.18,0.73,0.0,0.0,1,3,0,0,False,5,Slovakia,0
starting.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,Let's Encrypt,37,92.240.253.14,1,1,1,1,0,0,29405,200,None,text/html; charset=utf-8,3.1,0.18,0.73,0.0,0.0,1,2,0,0,False,1,Slovakia,0
ziardolinky.sk,"ACTIVE 24, s.r.o.",4,3,Let's Encrypt,57,37.9.175.197,1,1,1,0,0,0,51013,200,openresty,text/html; charset=UTF-8,3.52,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
teraz.sk,Websupport s.r.o.,4,3,Let's Encrypt,56,109.71.71.76,1,1,1,1,0,0,50128,200,nginx,text/html; charset=utf-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelborik.sk,Websupport s.r.o.,4,3,None,31,37.9.175.133,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,5,Slovakia,0
kosicesever.sk,"iMprove GROUP, s.r.o.",4,2,Let's Encrypt,42,37.9.175.180,1,1,1,1,0,1,51013,200,openresty,text/html; charset=utf-8,2.99,0.36,0.57,0.0,0.0,1,2,0,0,False,7,Slovakia,0
hoteljavorna.sk,Websupport s.r.o.,4,3,Let's Encrypt,54,37.9.175.132,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.64,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
unipo.sk,"WebHouse, s.r.o.",4,3,GEANT Vereniging,269,194.160.192.15,1,1,1,1,0,0,2607,200,Apache,text/html; charset=utf-8,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,1,Slovakia,0
janovky.sk,Websupport s.r.o.,4,1,Let's Encrypt,68,37.9.175.197,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
sered.sk,"Webglobe, a.s.",4,3,Let's Encrypt,54,46.234.109.102,1,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,3,Czechia,0
forumpoprad.sk,Websupport s.r.o.,4,3,Sectigo Limited,69,37.9.175.189,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,3.38,0.29,0.64,0.0,0.0,1,2,0,0,False,1,Slovakia,0
skiblanc.sk,Websupport s.r.o.,4,3,None,31,37.9.175.131,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.1,0.18,0.73,0.0,0.0,1,2,0,0,False,1,Slovakia,0
stuba.sk,"SWAN, a. s.",4,3,GEANT Vereniging,266,147.175.1.60,1,1,1,1,0,1,2607,200,Apache,text/html; charset=UTF-8,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
detva.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,55,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
modrykonik.sk,"Webglobe, a.s.",4,3,Let's Encrypt,78,217.16.191.15,1,1,1,1,1,1,43541,200,nginx,text/html; charset=utf-8,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Czechia,0
bytca.sk,"Slovanet, a. s.",4,3,Let's Encrypt,57,46.229.239.41,1,1,1,1,0,1,29405,200,nginx,text/html; charset=UTF-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
pocar.sk,"SWAN, a. s.",4,3,Let's Encrypt,64,88.198.209.235,1,1,1,1,0,0,24940,200,nginx,text/html; charset=utf-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Germany,0
eurovea.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,Let's Encrypt,19,37.9.175.179,1,1,1,1,0,0,51013,200,openresty,text/html; charset=utf-8,3.12,0.5,0.4,0.0,0.0,2,2,0,0,False,1,Slovakia,0
ocoptima.sk,ANTIK Telecom s.r.o.,4,3,Let's Encrypt,80,88.212.10.20,1,1,1,1,0,0,42841,200,Apache,text/html; charset=UTF-8,3.28,0.36,0.55,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelsenica.sk,Websupport s.r.o.,4,3,Let's Encrypt,42,37.9.175.197,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.52,0.36,0.57,0.0,0.0,1,2,0,0,False,5,Slovakia,0
santk.sk,Websupport s.r.o.,4,1,Let's Encrypt,52,37.9.175.155,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,2.5,0.12,0.75,0.0,0.0,1,3,0,0,False,1,Slovakia,0
slovenskyraj.sk,"INTERNET CZ, a.s.",4,3,Actalis S.p.A.,364,81.2.195.116,1,1,1,1,0,1,24806,200,Microsoft-IIS/10.0,text/html,3.46,0.27,0.67,0.0,0.0,1,3,0,0,False,1,Czechia,0
hotel-preveza.sk,Websupport s.r.o.,4,3,Let's Encrypt,29,37.9.175.181,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.7,0.31,0.56,0.0,0.06,1,2,0,1,False,5,Slovakia,0
oclaugaricio.sk,"ACTIVE 24, s.r.o.",4,1,Let's Encrypt,52,46.28.106.174,1,1,1,1,0,0,197019,200,Apache,text/html; charset=UTF-8,3.37,0.47,0.47,0.0,0.0,2,2,0,0,False,1,Czechia,0
gbely.sk,"RANSYSTEMS, s.r.o.",4,2,Let's Encrypt,66,88.86.102.6,1,1,1,1,0,1,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Czechia,0
ciernanadtisou.sk,"Webglobe, a.s.",4,3,Let's Encrypt,42,46.28.107.241,1,1,1,1,1,1,197019,200,Apache,text/html; charset=UTF-8,3.62,0.41,0.53,0.0,0.0,2,2,0,0,False,10,Czechia,0
eminent.sk,VONET s.r.o.,4,3,None,0,52.213.120.66,1,1,1,1,0,0,16509,200,Apache/2.4.62 (Amazon Linux),text/html; charset=UTF-8,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Ireland,0
hotelmarrols.sk,Websupport s.r.o.,4,3,Let's Encrypt,36,37.9.175.132,1,1,1,1,0,0,51013,200,openresty,text/html; charset=utf-8,3.37,0.27,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hotelacko.sk,"WebHouse, s.r.o.",4,3,Let's Encrypt,83,193.163.77.10,1,1,1,1,1,1,29405,403,LiteSpeed,text/html,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,1,Slovakia,0
oktip.sk,EXO TECHNOLOGIES spol. s r.o.,4,4,DigiCert Inc,176,92.240.253.41,1,1,1,1,0,0,29405,200,None,text/html; charset=UTF-8,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
ovp.sk,"DSI DATA, a. s.",4,3,None,47,37.9.175.156,1,1,1,1,0,1,51013,200,openresty,text/html; charset=utf-8,2.58,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
finreport.sk,Positive s.r.o.,4,2,Let's Encrypt,70,81.89.48.54,1,1,1,1,1,1,29405,200,nginx,text/html; charset=UTF-8,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
thorin.sk,"CMD, s.r.o.",4,3,Let's Encrypt,65,46.229.233.134,1,1,1,1,0,1,29405,200,Apache/2.4.62 (Debian),text/html,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,4,Slovakia,0
lipany.sk,Websupport s.r.o.,4,3,Let's Encrypt,30,116.202.184.199,1,1,1,1,0,0,24940,200,nginx,text/html; charset=UTF-8,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,4,Germany,0
snslp.sk,ZONER s.r.o.,4,3,Let's Encrypt,66,90.64.236.212,1,1,1,1,0,1,15962,200,Apache/2.4.37 (centos) OpenSSL/1.1.1g,text/html; charset=UTF-8,2.41,0.0,0.88,0.0,0.0,0,5,0,0,False,1,Slovakia,0
brasin.sk,"ACTIVE 24, s.r.o.",4,2,Let's Encrypt,35,31.15.10.75,1,1,1,1,0,0,25234,200,nginx,text/html; charset=UTF-8,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Czechia,0
101drogerie.sk,Websupport s.r.o.,4,3,Let's Encrypt,38,37.9.175.179,1,1,1,1,0,1,51013,200,openresty,text/html; charset=UTF-8,3.38,0.29,0.43,0.21,0.0,2,2,3,0,False,1,Slovakia,0
mestotornala.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,32,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.37,0.33,0.6,0.0,0.0,1,2,0,0,False,8,Slovakia,0
kosice-autoskola.sk,"INTERNET CZ, a.s.",4,3,Let's Encrypt,38,185.129.138.50,1,0,0,1,0,0,24806,200,Apache,text/html; charset=UTF-8,3.39,0.42,0.47,0.0,0.05,2,2,0,1,False,1,Czechia,0
